setup_id,fold,trigger_date,exit_date,ticker,horizon_days,direction,option_type,strike,entry_underlying,exit_underlying,entry_iv,exit_iv,entry_option_price,exit_option_price,contracts,capital_allocated,pnl_dollars,pnl_pct
SETUP_0001,1,2020-01-20,2020-01-21,GOOGL US Equity,1,long,call,73.976000,73.976000,74.113000,5.000000,5.000000,58.344905,58.196351,1,10000.000000,-14.855406,-0.001486
SETUP_0001,1,2020-01-20,2020-02-18,TSLA US Equity,21,long,call,34.033300,34.033300,57.226700,5.000000,5.000000,26.842079,43.890515,3,10000.000000,5114.530910,0.511453
SETUP_0001,1,2020-01-20,2020-01-21,XLK US Equity,1,long,call,97.120000,97.120000,97.080000,5.000000,5.000000,76.598588,76.207315,1,10000.000000,-39.127299,-0.003913
SETUP_0001,1,2020-01-21,2020-01-28,AAPL US Equity,5,long,call,79.142500,79.142500,79.422500,5.000000,5.000000,62.419726,61.157159,1,10000.000000,-126.256641,-0.012626
SETUP_0001,1,2020-01-21,2020-02-19,AMD US Equity,21,long,call,51.050000,51.050000,58.900000,5.000000,5.000000,40.263158,42.063931,2,10000.000000,360.154540,0.036015
SETUP_0001,1,2020-01-21,2020-01-22,GOOGL US Equity,1,long,call,74.113000,74.113000,74.209000,5.000000,5.000000,58.452957,58.267303,1,10000.000000,-18.565376,-0.001857
SETUP_0001,1,2020-01-21,2020-02-19,TSLA US Equity,21,long,call,36.480000,36.480000,61.161300,5.000000,5.000000,28.771793,46.884533,3,10000.000000,5433.822135,0.543382
SETUP_0001,1,2020-01-21,2020-01-22,XLK US Equity,1,long,call,97.080000,97.080000,97.430000,5.000000,5.000000,76.567040,76.524042,1,10000.000000,-4.299753,-0.000430
SETUP_0001,1,2020-07-22,2020-07-29,AAPL US Equity,5,long,call,97.272500,97.272500,95.040000,5.000000,5.000000,76.718865,72.889285,1,10000.000000,-382.957982,-0.038296
SETUP_0001,1,2020-07-22,2020-08-20,AMD US Equity,21,long,call,61.790000,61.790000,82.770000,5.000000,5.000000,48.733801,60.903429,2,10000.000000,2433.925692,0.243393
SETUP_0001,1,2020-07-22,2020-07-23,GOOGL US Equity,1,long,call,78.242000,78.242000,75.838000,5.000000,5.000000,61.709501,59.280223,1,10000.000000,-242.927754,-0.024293
SETUP_0001,1,2020-07-22,2020-08-20,TSLA US Equity,21,long,call,106.155300,106.155300,133.455300,5.000000,5.000000,83.724733,96.984969,1,10000.000000,1326.023546,0.132602
SETUP_0001,1,2020-07-22,2020-07-23,XLK US Equity,1,long,call,109.330000,109.330000,106.490000,5.000000,5.000000,86.228620,83.296376,1,10000.000000,-293.224474,-0.029322
SETUP_0001,1,2020-07-23,2020-07-30,AAPL US Equity,5,long,call,92.845000,92.845000,96.190000,5.000000,5.000000,73.226894,74.419522,1,10000.000000,119.262830,0.011926
SETUP_0001,1,2020-07-23,2020-08-21,AMD US Equity,21,long,call,59.570000,59.570000,83.810000,5.000000,5.000000,46.982886,62.248152,2,10000.000000,3053.053127,0.305305
SETUP_0001,1,2020-07-23,2020-07-24,GOOGL US Equity,1,long,call,75.838000,75.838000,75.411000,5.000000,5.000000,59.813465,59.154793,1,10000.000000,-65.867180,-0.006587
SETUP_0001,1,2020-07-23,2020-08-21,TSLA US Equity,21,long,call,100.871300,100.871300,136.665300,5.000000,5.000000,79.557240,100.780501,1,10000.000000,2122.326111,0.212233
SETUP_0001,1,2020-07-23,2020-07-24,XLK US Equity,1,long,call,106.490000,106.490000,105.200000,5.000000,5.000000,83.988711,82.448069,1,10000.000000,-154.064215,-0.015406
SETUP_0001,1,2020-07-24,2020-07-31,AAPL US Equity,5,long,call,92.615000,92.615000,106.260000,5.000000,5.000000,73.045492,83.427153,1,10000.000000,1038.166098,0.103817
SETUP_0001,1,2020-07-24,2020-08-24,AMD US Equity,21,long,call,69.400000,69.400000,83.080000,5.000000,5.000000,54.735811,59.783903,1,10000.000000,504.809188,0.050481
SETUP_0001,1,2020-07-24,2020-07-27,GOOGL US Equity,1,long,call,75.411000,75.411000,76.472000,5.000000,5.000000,59.476690,60.148113,1,10000.000000,67.142353,0.006714
SETUP_0001,1,2020-07-24,2020-08-24,TSLA US Equity,21,long,call,94.466700,94.466700,134.280000,5.000000,5.000000,74.505929,99.926408,1,10000.000000,2542.047878,0.254205
SETUP_0001,1,2020-07-24,2020-07-27,XLK US Equity,1,long,call,105.200000,105.200000,106.860000,5.000000,5.000000,82.971288,84.068684,1,10000.000000,109.739648,0.010974
SETUP_0001,1,2020-07-28,2020-08-04,AAPL US Equity,5,long,call,93.252500,93.252500,109.665000,5.000000,5.000000,73.548289,86.398258,1,10000.000000,1284.996863,0.128500
SETUP_0001,1,2020-07-28,2020-08-26,AMD US Equity,21,long,call,67.610000,67.610000,86.020000,5.000000,5.000000,53.324038,62.661198,1,10000.000000,933.716069,0.093372
SETUP_0001,1,2020-07-28,2020-07-29,GOOGL US Equity,1,long,call,75.183000,75.183000,76.176000,5.000000,5.000000,59.296866,59.908366,1,10000.000000,61.150004,0.006115
SETUP_0001,1,2020-07-28,2020-08-26,TSLA US Equity,21,long,call,98.432700,98.432700,143.544700,5.000000,5.000000,77.633915,107.330890,1,10000.000000,2969.697509,0.296970
SETUP_0001,1,2020-07-28,2020-07-29,XLK US Equity,1,long,call,105.610000,105.610000,107.140000,5.000000,5.000000,83.294655,84.274374,1,10000.000000,97.971936,0.009797
SETUP_0001,1,2020-07-29,2020-08-05,AAPL US Equity,5,long,call,95.040000,95.040000,110.062500,5.000000,5.000000,74.958091,86.525615,1,10000.000000,1156.752430,0.115675
SETUP_0001,1,2020-07-29,2020-08-27,AMD US Equity,21,long,call,76.090000,76.090000,83.800000,5.000000,5.000000,60.012217,59.265355,1,10000.000000,-74.686211,-0.007469
SETUP_0001,1,2020-07-29,2020-07-30,GOOGL US Equity,1,long,call,76.176000,76.176000,76.919000,5.000000,5.000000,60.080046,60.464563,1,10000.000000,38.451770,0.003845
SETUP_0001,1,2020-07-29,2020-08-27,TSLA US Equity,21,long,call,99.940700,99.940700,149.250000,5.000000,5.000000,78.823275,112.085567,1,10000.000000,3326.229205,0.332623
SETUP_0001,1,2020-07-29,2020-07-30,XLK US Equity,1,long,call,107.140000,107.140000,107.740000,5.000000,5.000000,84.501366,84.644745,1,10000.000000,14.337897,0.001434
SETUP_0001,1,2020-07-30,2020-08-06,AAPL US Equity,5,long,call,96.190000,96.190000,113.902500,5.000000,5.000000,75.865097,89.822721,1,10000.000000,1395.762423,0.139576
SETUP_0001,1,2020-07-30,2020-08-28,AMD US Equity,21,long,call,78.200000,78.200000,85.550000,5.000000,5.000000,61.676375,60.417142,1,10000.000000,-125.923326,-0.012592
SETUP_0001,1,2020-07-30,2020-07-31,GOOGL US Equity,1,long,call,76.919000,76.919000,74.398000,5.000000,5.000000,60.666050,58.137527,1,10000.000000,-252.852356,-0.025285
SETUP_0001,1,2020-07-30,2020-08-28,TSLA US Equity,21,long,call,99.166000,99.166000,147.560000,5.000000,5.000000,78.212269,110.743330,1,10000.000000,3253.106102,0.325311
SETUP_0001,1,2020-07-30,2020-07-31,XLK US Equity,1,long,call,107.740000,107.740000,110.430000,5.000000,5.000000,84.974587,86.983483,1,10000.000000,200.889660,0.020089
SETUP_0001,1,2020-07-31,2020-08-07,AAPL US Equity,5,long,call,106.260000,106.260000,111.112500,5.000000,5.000000,83.807310,86.081757,1,10000.000000,227.444645,0.022744
SETUP_0001,1,2020-07-31,2020-08-31,AMD US Equity,21,long,call,77.430000,77.430000,90.820000,5.000000,5.000000,61.069076,65.080951,1,10000.000000,401.187451,0.040119
SETUP_0001,1,2020-07-31,2020-08-03,GOOGL US Equity,1,long,call,74.398000,74.398000,74.138000,5.000000,5.000000,58.677736,58.173331,1,10000.000000,-50.440489,-0.005044
SETUP_0001,1,2020-07-31,2020-08-31,TSLA US Equity,21,long,call,95.384000,95.384000,166.106700,5.000000,5.000000,75.229404,128.160168,1,10000.000000,5293.076366,0.529308
SETUP_0001,1,2020-07-31,2020-08-03,XLK US Equity,1,long,call,110.430000,110.430000,113.150000,5.000000,5.000000,87.096191,89.122009,1,10000.000000,202.581793,0.020258
SETUP_0001,1,2020-12-29,2021-01-27,AMD US Equity,21,long,call,90.620000,90.620000,91.710000,5.000000,5.000000,71.472035,63.683521,1,10000.000000,-778.851424,-0.077885
SETUP_0001,1,2020-12-29,2020-12-30,GOOGL US Equity,1,long,call,87.888000,87.888000,86.813000,5.000000,5.000000,69.317305,68.036567,1,10000.000000,-128.073827,-0.012807
SETUP_0002,1,2018-12-18,2019-01-16,AMD US Equity,21,long,call,19.500000,19.500000,19.730000,5.000000,5.000000,15.379659,13.699835,6,10000.000000,-1007.894063,-0.100789
SETUP_0002,1,2018-12-18,2019-01-16,AMZN US Equity,21,long,call,77.574000,77.574000,84.189000,5.000000,5.000000,61.182649,59.354678,1,10000.000000,-182.797130,-0.018280
SETUP_0002,1,2018-12-18,2018-12-19,JPM US Equity,1,long,call,98.540000,98.540000,97.290000,5.000000,5.000000,77.718543,76.242716,1,10000.000000,-147.582628,-0.014758
SETUP_0002,1,2018-12-18,2018-12-25,LLY US Equity,5,long,call,106.500000,106.500000,106.750000,5.000000,5.000000,83.996598,82.185382,1,10000.000000,-181.121657,-0.018112
SETUP_0002,1,2018-12-18,2018-12-19,MSFT US Equity,1,long,call,103.970000,103.970000,103.690000,5.000000,5.000000,82.001186,81.370657,1,10000.000000,-63.052918,-0.006305
SETUP_0002,1,2018-12-19,2019-01-17,AMD US Equity,21,long,call,18.160000,18.160000,20.250000,5.000000,5.000000,14.322800,14.358936,6,10000.000000,21.681698,0.002168
SETUP_0002,1,2018-12-19,2019-01-17,AMZN US Equity,21,long,call,74.754000,74.754000,84.661000,5.000000,5.000000,58.958514,60.227717,1,10000.000000,126.920314,0.012692
SETUP_0002,1,2018-12-19,2018-12-20,JPM US Equity,1,long,call,97.290000,97.290000,96.450000,5.000000,5.000000,76.732667,75.627027,1,10000.000000,-110.564015,-0.011056
