setup_id,rank,sharpe_lb,sharpe_median,calmar,sortino,max_drawdown,support,annualized_return,volatility,first_trigger_date,last_trigger_date,sharpe_1d,sharpe_3d,sharpe_5d,sharpe_10d,sharpe_21d,description,signal_ids
SETUP_0043,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0044,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0045,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0046,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0047,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0048,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0049,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0050,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0051,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0052,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0053,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0054,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0055,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0056,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
